LTPT	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	No	No	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No	Yes	Yes	No	Yes	Yes	Yes	No	Yes	No	No	No	No	Yes	No	Yes	Yes	No	Yes	No	No	Yes	No	Yes	Yes	No	No	Yes	Yes
Actinomyces	0	0	0	1	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	4	3	3	0	0	0	0	5	3	0	1	0	0	2	0	0	2	0	1	1	0	1	0	1	0	2	0	1	1	0	0	6	0	2	1	0	0	0	1	1	0	0	0	0
Akkermansia	9	0	0	0	26	0	0	0	0	7	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	269	0	0	0	16	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	2	0	0	0	0	1
Anaerococcus	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1
Anaeromassilibacillus	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	3	0	0	0
Anaerostipes	0	0	0	151	28	186	0	0	0	62	1125	0	57	9	17	0	0	1	0	39	0	0	30	0	99	7	6	0	0	0	0	110	196	0	0	0	0	0	201	4	7	0	0	28	1	0	0	0	0	3	11	691	0	0	0	6	206	53	69	2	63	3	70	0	17
Bacillus	0	0	0	4	0	0	0	0	0	6	1	1	14	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	4	0	0	0	0	0	0	0	0	3	0	5	6	0	0	0	0	0
Bacteroides	177	1	351	11	13	38	1605	235	173	177	56	589	70	3	306	125	1	149	0	166	128	13	0	2	813	10	108	0	0	4	1	39	40	4	0	0	32	1	414	598	49	29	926	453	58	4	616	52	330	5	0	0	0	0	443	33	37	17	0	40	320	80	44	486	69
Bifidobacterium	1401	1492	1859	2050	1973	2449	257	2248	1548	6	432	1215	1100	1176	442	657	1937	2466	1617	2573	1548	1791	2121	2215	429	2050	1081	1949	704	2449	2666	1260	1924	1851	2474	2089	2017	2178	775	785	1440	1274	332	1385	603	8	1150	2175	1766	2706	1	252	1909	2158	1546	1086	1458	2696	1532	5	1315	1301	899	1858	1264
Blautia	790	530	394	385	73	53	312	0	70	1170	444	41	900	503	1195	1	3	89	376	148	0	585	49	1	301	38	1133	98	1635	1	10	182	212	391	98	2	80	4	506	696	345	52	921	224	1612	1	427	5	80	1	542	866	0	393	65	310	708	0	33	790	184	507	629	0	772
Butyricicoccus	0	6	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	1	0	0	0	0	1	0	16	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	36	33	0	0	2	0	13	0	0	0	0
Citrobacter	0	0	0	0	0	1	0	0	0	0	0	1	0	18	1	2	10	0	0	0	3	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	24	0	0	2	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0
Clostridioides	0	5	0	0	0	4	1	7	12	9	0	0	0	0	15	0	0	0	2	0	2	0	0	0	13	0	0	5	0	0	0	3	31	18	0	0	0	2	0	18	1	0	5	0	0	0	0	0	1	1	20	0	0	0	0	0	6	0	1	1	0	0	0	0	0
Clostridium	1	58	0	0	0	5	46	2	12	11	84	86	3	66	1	125	197	0	14	1	62	0	27	46	21	1	0	196	14	2	3	171	6	24	0	59	10	122	9	1	10	1	50	3	3	623	0	2	7	75	402	6	8	4	5	0	4	1	12	20	45	8	18	44	5
Collinsella	82	0	0	0	80	0	0	0	125	0	0	0	125	0	253	0	0	0	0	0	0	0	157	0	1	0	0	1	0	0	1	205	0	0	0	0	0	1	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	55	0	0	27	0	0	0	0	256	0	0
Coprobacillus	0	2	0	0	0	0	21	0	0	12	7	0	5	0	27	0	3	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	5	0	0	0	0	1	0	0	0	5	6	2	0	0	0	0	0	39	28	4	0	21	0	6	0	6	11	0	40	0	0	0
Drancourtella	0	77	0	0	0	50	0	0	2	0	0	0	42	0	0	57	0	18	240	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	28	0	0	30	0	34	0	0	0	0	0	0	0	0	148	0	0	0	25
Eggerthella	16	37	7	13	8	37	2	117	33	42	0	0	14	0	10	23	0	50	49	47	13	50	20	0	11	2	15	22	12	17	0	2	85	12	44	0	54	10	34	15	16	5	12	66	92	0	4	11	24	22	0	45	0	5	9	6	39	4	58	67	0	21	0	25	0
Enterococcus	0	24	0	98	5	1	24	74	12	34	4	229	0	18	12	80	120	99	38	0	19	74	21	176	23	4	4	77	57	12	1	3	14	96	61	92	41	97	15	47	12	56	19	160	28	9	37	22	226	44	2	26	121	66	70	6	20	14	5	26	103	17	12	256	50
Erysipelatoclostridium	58	210	32	88	19	46	165	0	92	373	48	83	144	109	222	241	1	35	314	19	60	236	19	287	61	22	37	95	342	0	1	91	93	77	99	40	19	0	117	53	205	0	196	368	64	1	72	13	2	0	531	198	204	2	0	10	125	0	230	216	41	336	105	219	199
Escherichia	4	34	38	2	5	28	196	36	7	4	11	92	1	209	6	30	78	54	23	0	190	4	24	12	6	0	4	26	49	49	3	0	1	6	18	160	6	47	35	33	14	21	7	21	6	258	82	83	89	10	21	12	36	56	32	6	1	0	34	8	109	17	13	8	59
Eubacterium	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	16	35	0	0	0	0	0	0	0	64	0	0	20	0	5	0	71	1	1	0	0	0	0	0	0	0	0
Faecalibacterium	1	0	10	18	79	0	0	0	0	0	1	0	92	0	0	0	0	0	0	0	0	1	0	0	571	0	0	0	0	0	1	440	0	1	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	124	116	29	0	0	249	0	0	0	0	0
Faecalicatena	26	0	0	0	0	2	1	0	0	0	0	0	18	0	10	17	0	0	1	0	0	0	0	0	122	0	15	0	46	0	0	30	7	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	1	1	0	6	0	6	0	0	2	0	0	0	0	1
Flavonifractor	4	0	0	0	1	1	0	0	0	3	0	0	4	2	2	15	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	4	2	0	0	7	0	0	0	1	0	0	4	5	1	0	0	5	1	0	0	3	9	0	3	8	0	1
Fusicatenibacter	0	0	0	0	89	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	326	0	0	0	0	26	0	1	0	0	0	1	0	0	0	0	0	0	0	0	82	0	0	1	0	665	38	0	0	1	84	0	0	0	154	35	1	0	126
Gemella	0	1	0	2	0	0	3	0	0	0	3	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1	0	0
Granulicatella	0	2	0	1	0	1	1	0	0	0	3	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	2	4	1	0	1	1	1	0	2	0	0	2	0	1	0	0	0	1	0	0	0	0	1	5	2	0	1	1	3	0	0	0	3	0	0	2	0	0
Haemophilus	0	0	0	0	0	0	6	0	1	0	0	0	1	63	2	0	3	1	0	0	0	0	0	0	2	0	0	4	1	0	1	9	0	0	0	12	0	0	3	1	0	4	6	0	0	3	1	0	0	0	1	0	0	3	0	5	0	0	0	9	0	0	1	0	0
Hungatella	1	2	0	3	0	0	0	0	1	3	0	0	2	15	21	1	0	0	18	1	0	0	0	0	23	1	1	21	12	0	0	1	0	6	3	0	7	0	0	1	0	0	6	0	0	0	0	0	0	1	15	0	10	0	3	0	0	0	50	8	0	2	0	0	1
Intestinibacter	7	375	0	0	5	11	35	4	9	34	142	7	22	12	7	59	6	4	14	0	44	1	18	1	33	1	4	8	24	0	0	38	1	3	0	0	20	54	24	0	9	2	44	61	2	0	4	0	35	15	38	9	45	0	6	1	17	9	78	71	34	43	50	5	6
Klebsiella	0	0	0	0	1	1	0	0	0	2	0	4	0	22	10	5	3	0	1	0	1	0	0	12	2	0	1	0	12	1	0	0	0	0	0	7	0	73	1	1	0	0	0	0	1	1455	0	1	26	2	2	4	0	1	0	4	0	0	2	12	19	2	1	9	0
Lachnoclostridium	7	43	7	4	3	1	23	15	0	68	2	0	33	50	58	40	7	1	14	0	1	8	0	11	68	5	57	25	2	0	0	8	0	34	0	0	0	0	10	14	7	1	63	25	0	180	2	0	1	3	127	14	0	0	5	30	29	0	25	81	2	12	6	35	27
Lachnospira	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	1	1	8	0	0	0	0	0
Lactobacillus	1	0	47	17	351	3	2	129	21	0	1	234	0	2	0	0	37	1	122	0	1	1	244	146	0	0	52	0	1	8	200	2	0	0	145	69	412	224	0	65	0	1236	0	81	4	15	92	305	247	2	20	0	3	217	17	40	2	42	0	0	0	0	4	0	3
Lactococcus	8	0	0	1	0	0	0	0	1	1	23	0	20	0	1	0	0	0	1	0	0	1	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	1	0	4	0	0	0	0	0	3	0	0	0	0	2	0	0	1	0	2	0	0	0
