LTPT	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	No	No	No	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	No	No	Yes	No	Yes	Yes	Yes	No	No	No	No	No	Yes	Yes	No	Yes	No	Yes	No	No	Yes	No	Yes	Yes	No	No	Yes	Yes	No
Abiotrophia	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
Absiella	3	0	0	7	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	2	0	8	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	18	1	0	0	0
Actinomyces	1	3	4	6	3	1	0	0	1	0	1	3	0	0	1	2	0	2	2	0	1	1	0	0	1	1	0	0	2	1	1	1	9	4	1	0	0	0	5	0	0	3	7	0	1	1	1	1	2	2	3	0	0	1	1	1	0	2	1	3	0	4	0
Agathobaculum	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	3	1	0	0	1	0	2	3	0	3	0	0	0	0	0	0	0	3	1	0	0	0	0	3	2	0	0	0	2	0	0	0
Alistipes	2	0	0	5	0	11	0	0	5	0	6	0	4	1	0	0	0	0	0	17	2	25	7	2	0	0	0	0	0	11	32	2	0	1	0	15	0	104	3	3	0	3	0	0	0	6	0	14	0	22	0	33	2	0	8	0	7	0	7	0	0	0	2
Aminipila	2	0	0	11	0	5	0	0	4	0	13	0	0	3	0	1	0	1	0	3	0	6	0	14	0	0	0	2	3	1	6	2	0	1	0	22	6	25	1	14	0	4	0	0	0	0	0	2	0	0	0	8	0	1	3	0	5	0	15	0	32	0	3
Anaerobutyricum	5	26	0	14	22	1	38	0	27	0	5	0	1	33	24	2	0	2	0	14	23	10	0	0	0	0	25	15	0	9	0	43	4	42	10	9	0	13	0	36	0	22	0	33	0	53	0	8	0	0	0	8	4	7	6	3	9	0	10	0	10	18	16
Anaerocolumna	0	0	0	16	1	0	18	0	0	0	0	0	0	24	0	0	16	0	0	27	0	11	0	3	0	0	0	17	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	4	0	0	0	1	0	9	0	0	7	0
Anaerofustis	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1
Anaeromassilibacillus	8	1	0	1	0	2	3	0	19	1	6	0	2	2	0	2	0	10	1	1	0	16	0	0	0	19	0	1	0	9	2	7	0	0	0	0	3	15	0	3	4	18	0	0	1	1	0	2	0	4	0	1	1	0	4	1	12	2	17	2	51	0	7
