LTPT	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	No	No	No	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	No	No	Yes	Yes	No	Yes	Yes	Yes	No	No	No	No	No	Yes	Yes	No	Yes	No	Yes	No	No	Yes	No	Yes	Yes	No	Yes	Yes	No
Abiotrophia	0	1	1	1	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	5	1	0	0	0	0	3	1	0	0	0	0	2
Absiella	0	0	0	2	0	0	1	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	1	0	0	5	0	0	0	0	1	0	20	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0
Actinomyces	1	3	0	1	5	1	0	1	0	0	0	0	1	1	4	0	0	0	0	1	1	0	0	0	0	4	4	1	0	0	0	0	1	2	7	5	0	1	2	5	0	0	0	2	1	1	3	1	1	3	0	0	5	5	7	2	4	1	4	0	1	0	5	2	1
Agathobaculum	0	0	1	0	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	2	3	0	1	0	2	0	0	2	0	0	0	0	5	1	0	0	2	0	0	0
Akkermansia	6	0	0	0	0	10	1	0	1	0	0	0	0	1	10	32	0	0	0	27	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	2	0	1	1	5	16	2	0	0	0	0	0	0	75	11	1	0	0	0	0	0	0	2	0	0
Alistipes	2	1	0	6	0	5	3	1	26	0	0	0	0	2	21	4	0	32	0	40	0	36	28	0	4	0	0	4	9	0	0	4	29	0	6	0	10	16	0	0	11	0	4	0	0	0	0	0	0	2	8	0	0	0	2	12	22	8	0	32	0	3	3	1	0
Aminipila	3	0	1	4	0	0	5	0	19	0	1	0	0	15	0	23	0	0	0	22	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	1	11	2	0	2	0	4	0	0	0	0	0	0	0	1	0	0	0	12	1	0	1	6	18	0	30	36	0	1
Anaerobutyricum	19	50	0	29	16	10	66	1	66	0	1	25	0	73	24	10	0	2	70	27	18	0	18	38	14	0	0	0	0	4	0	43	0	36	0	51	0	22	0	16	0	0	3	0	7	0	0	0	12	0	0	0	0	0	0	10	4	9	0	16	0	1	0	39	1
Anaerocolumna	0	10	0	0	0	5	0	62	4	0	0	0	9	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	2	8	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0
Anaerofustis	1	0	0	2	0	1	1	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	1	0	0	0	1
