Variable,OR,lowCI,upCI
Abiotrophia,0.332784699087607,0.02432190581918814,2.4209595428287756
Actinomyces,1.21160562913791,0.4777880167913151,2.87039942387802
Agathobaculum,2.4365167075273786,0.11670351011411328,8.710785211474837
Akkermansia,0.9549906814145235,0.8547814798681809,1.251053975889032
Aminipila,1.170472596446401,0.9749390939553779,1.4145016084614248
Anaerobutyricum,1.0408799729974636,0.9509905468560547,1.13830398501109
Anaerostipes,0.9741320812230386,0.9486848721893577,0.9912529827429757
Anaerotignum,0.8666493260849453,0.5591963623845638,1.645473816607776
Bacteroides,0.9911385557261232,0.9815469026483293,1.0028872308234245
Bifidobacterium,0.9966829723489393,0.9924306073184943,1.0018183110201946
Blautia,1.0045128599088986,0.9990898766666223,1.0101868949700363
Butyricicoccus,1.0998493457821856,0.9929838475602898,1.2257880488342208
Clostridium,1.0584668955239624,0.9753186365202351,1.2062206500301293
Coprobacillus,0.7145830074582982,0.24927470671538896,1.6510203866152309
Desulfovibrio,1.1775376867761083,0.3887642722446588,2.1128135477866112
Dialister,1.011061490163722,0.9648322600754393,1.0678838502457577
Dorea,0.9530336644909048,0.8906399056278539,1.0275025004908713
Eggerthella,0.9735462906870345,0.7815754295855791,1.0787821256638033
Eisenbergiella,0.963297475911676,0.7930742394112636,1.0730172347708105
Enterococcus,1.0047641364107498,0.704231439112262,1.0160426933273103
Escherichia,0.9213419855519924,0.8679645047274268,1.0119832254927783
Eubacterium,0.9726275476182571,0.926398941411433,1.0668153799368794
Faecalibacterium,1.0075492872733636,0.9972712528593043,1.0158721648859552
Faecalimonas,1.0973199977459551,0.9888126250370745,1.341645607455629
Flavonifractor,1.0648823800965348,0.7665255607652989,1.4110322891702862
Fournierella,0.9971901436205935,0.9360950737990863,1.0423463164617288
Fusicatenibacter,0.9972733298215183,0.9904589692153201,1.0068683814316475
Granulicatella,1.5053340886240023,0.43137195443003534,3.9483332634777693
Haemophilus,1.5035319707796404,0.7469647433132139,15.086471032736764
Hungatella,1.1041687485475438,0.7315014998640831,1.3190374603478943
Ihubacter,0.7951389659056158,0.5276377513665784,1.1340753124251228
Intestinibacter,0.9078687107407406,0.8183151123917541,0.9864873283982541
Klebsiella,0.9455680835798279,0.4942146889435118,3.7493767804490954
Lactobacillus,0.9856239962975893,0.8185825782315734,1.0411545481798463
Lactococcus,1.0742593775199827,0.7724161757409455,1.8337014680932133
Monoglobus,0.9222021631171666,0.6298924158095696,1.2492035835951714
Mordavella,0.8439373349054662,0.6157087287807336,1.0586232944182252
Odoribacter,0.5740380035061735,0.09219804611678085,4.057885091356231
Oscillibacter,1.1962996655341012,1.0867352484583133,1.4308066152972225
Parabacteroides,0.9510953290336767,0.8528277271364153,1.0091362745793262
Robinsoniella,0.9726629904835332,0.9447407112274632,0.9950171286614351
Romboutsia,1.1053946012867018,0.8882469336097065,1.4545012516861997
Roseburia,1.014536358440035,0.9873987587374026,1.034586147035811
Rothia,0.21444760059068635,0.01526897493418804,3.3441146164340605
Solobacterium,3.5826020732215533,0.3907466147902893,32.07453370279652
Streptococcus,1.005197825911201,0.9948981361666998,1.013269321654513
